Location;Date;Microestacion;Time;Estacion;Number_Collar;Obs;tipo_gas;Exp_Flux;Exp_R2;Latitude;Longitude;Treatment;soilp_t_IV;T_med_ifapa;Rad_ifapa;Pp_ifapa;Dias_ultima_pp;Pp_acumulada_7;EVI;LSWI;NDVI;NDWI;Thermal;albedo;dif
portugos;01/06/2023;Micro_collar_1-4;10:32:00;Primavera;1;1;CO2;3.82989;0.998418;36.95465;-3.301058;VP;20.1;16.8;26.7;0;1;19.6;0.320884852;0.308767471;0.588280648;-0.537313433;;0.10782558;4
portugos;01/06/2023;Micro_collar_1-4;10:35:00;Primavera;2;1;CO2;6.00142;0.998508;36.95467;-3.301098;VP;19.3;16.8;26.7;0;1;19.6;0.320884852;0.308767471;0.588280648;-0.537313433;;0.10782558;4
portugos;01/06/2023;Micro_collar_1-4;10:38:00;Primavera;3;1;CO2;3.89343;0.995092;36.95479;-3.30118;VP;18;16.8;26.7;0;1;19.6;0.341906073;0.279850746;0.629453682;-0.562642369;;0.10824099;4
portugos;01/06/2023;Micro_collar_5-8;10:45:00;Primavera;5;1;CO2;3.7679;0.99517;36.95475;-3.301188;BS;16.7;16.8;26.7;0;1;19.6;0.353160648;0.321272614;0.636152955;-0.566568047;;0.1066705;4
portugos;01/06/2023;Micro_collar_5-8;10:48:00;Primavera;6;1;CO2;4.32481;0.996335;36.95476;-3.301195;BS;16.2;16.8;26.7;0;1;19.6;0.353160648;0.321272614;0.636152955;-0.566568047;;0.1066705;4
portugos;01/06/2023;Micro_collar_5-8;10:55:00;Primavera;8;1;CO2;4.90181;0.998129;36.95478;-3.301272;BS;15;16.8;26.7;0;1;19.6;0.349725623;0.339604892;0.633652008;-0.556851312;;0.10889995;4
portugos;01/06/2023;Micro_collar_9-12;10:58:00;Primavera;9;1;CO2;3.89035;0.9977;36.95463;-3.301363;VP;14.7;16.8;26.7;0;1;19.6;0.343091034;0.322611772;0.637594584;-0.558165972;;0.1071998;4
portugos;01/06/2023;Micro_collar_9-12;11:05:00;Primavera;11;1;CO2;4.24473;0.996601;36.95463;-3.301373;VP;14.4;16.8;26.7;0;1;19.6;0.343091034;0.322611772;0.637594584;-0.558165972;;0.1071998;4
portugos;01/06/2023;Micro_collar_9-12;11:08:00;Primavera;12;1;CO2;5.0363;0.996162;36.9546;-3.301362;VP;14.3;16.8;26.7;0;1;19.6;0.343091034;0.322611772;0.637594584;-0.558165972;;0.1071998;4
portugos;01/06/2023;Micro_collar_13-16;11:11:00;Primavera;13;1;CO2;3.70752;0.998024;36.95458;-3.301352;BS;14;16.8;26.7;0;1;19.6;0.373229824;0.33733854;0.647668394;-0.556643357;;0.10955301;4
portugos;01/06/2023;Micro_collar_13-16;11:18:00;Primavera;15;1;CO2;4.68251;0.998125;36.95459;-3.301315;BS;14;16.8;26.7;0;1;19.6;0.373229824;0.33733854;0.647668394;-0.556643357;;0.10955301;4
portugos;01/06/2023;Micro_collar_13-16;11:21:00;Primavera;16;1;CO2;1.78402;0.981684;36.95459;-3.30128;BS;14.1;16.8;26.7;0;1;19.6;0.373229824;0.33733854;0.647668394;-0.556643357;;0.10955301;4
portugos;01/06/2023;Micro_collar_17-20;11:24:00;Primavera;17;1;CO2;5.32712;0.996009;36.95455;-3.30136;VP;14;16.8;26.7;0;1;19.6;0.352192733;0.285978999;0.631022327;-0.559550562;;0.10750428;4
portugos;01/06/2023;Micro_collar_17-20;11:31:00;Primavera;19;1;CO2;5.86611;0.999177;36.95453;-3.301362;VP;14.3;16.8;26.7;0;1;19.6;0.346496977;0.297691373;0.622483859;-0.554019644;;0.10842249;4
portugos;01/06/2023;Micro_collar_17-20;11:36:00;Primavera;20;1;CO2;3.24508;0.99455;36.95452;-3.301408;VP;14.3;16.8;26.7;0;1;19.6;0.346496977;0.297691373;0.622483859;-0.554019644;;0.10842249;4
portugos;01/06/2023;Micro_collar_21-24;11:42:00;Primavera;22;1;CO2;4.00472;0.997856;36.95449;-3.301315;BS;14.6;16.8;26.7;0;1;19.6;0.312992042;0.272955975;0.570818782;-0.528700906;;0.10904462;4
portugos;01/06/2023;Micro_collar_21-24;11:46:00;Primavera;23;1;CO2;4.24384;0.996379;36.9545;-3.301253;BS;14.7;16.8;26.7;0;1;19.6;0.312992042;0.272955975;0.570818782;-0.528700906;;0.10904462;4
portugos;01/06/2023;Micro_collar_21-24;11:49:00;Primavera;24;1;CO2;5.667;0.998484;36.95455;-3.301247;BS;14.7;16.8;26.7;0;1;19.6;0.352192733;0.285978999;0.631022327;-0.559550562;;0.10750428;4
portugos;01/06/2023;Micro_collar_13-16;11:18:00;Primavera;15;1;CH4;-0.304115;0.976866;36.95459;-3.301315;BS;14;16.8;26.7;0;1;19.6;0.373229824;0.33733854;0.647668394;-0.556643357;;0.10955301;4
portugos;01/06/2023;Micro_collar_9-12;11:08:00;Primavera;12;1;CH4;-0.290186;0.972406;36.9546;-3.301362;VP;14.3;16.8;26.7;0;1;19.6;0.343091034;0.322611772;0.637594584;-0.558165972;;0.1071998;4
portugos;01/06/2023;Micro_collar_21-24;11:46:00;Primavera;23;1;CH4;-0.142065;0.886755;36.9545;-3.301253;BS;14.7;16.8;26.7;0;1;19.6;0.312992042;0.272955975;0.570818782;-0.528700906;;0.10904462;4
portugos;01/06/2023;Micro_collar_5-8;10:48:00;Primavera;6;1;CH4;-0.113382;0.848573;36.95476;-3.301195;BS;16.2;16.8;26.7;0;1;19.6;0.353160648;0.321272614;0.636152955;-0.566568047;;0.1066705;4
portugos;01/06/2023;Micro_collar_9-12;11:05:00;Primavera;11;1;CH4;-0.106293;0.856972;36.95463;-3.301373;VP;14.4;16.8;26.7;0;1;19.6;0.343091034;0.322611772;0.637594584;-0.558165972;;0.1071998;4
portugos;01/06/2023;Micro_collar_13-16;11:11:00;Primavera;13;1;CH4;-0.105961;0.874706;36.95458;-3.301352;BS;14;16.8;26.7;0;1;19.6;0.373229824;0.33733854;0.647668394;-0.556643357;;0.10955301;4
portugos;01/06/2023;Micro_collar_21-24;11:42:00;Primavera;22;1;CH4;-0.0975426;0.821685;36.95449;-3.301315;BS;14.6;16.8;26.7;0;1;19.6;0.312992042;0.272955975;0.570818782;-0.528700906;;0.10904462;4
portugos;01/06/2023;Micro_collar_1-4;10:38:00;Primavera;3;1;CH4;-0.0828542;0.815382;36.95479;-3.30118;VP;18;16.8;26.7;0;1;19.6;0.341906073;0.279850746;0.629453682;-0.562642369;;0.10824099;4
portugos;01/06/2023;Micro_collar_9-12;10:58:00;Primavera;9;1;CH4;-0.0787407;0.861913;36.95463;-3.301363;VP;14.7;16.8;26.7;0;1;19.6;0.343091034;0.322611772;0.637594584;-0.558165972;;0.1071998;4
portugos;02/03/2023;Micro_collar_9-12;11:39:00;Invierno;12;1;CH4;-0.49696;0.990952;36.95466;-3.301268;VP;5.1;4.7;16.1;0;13;0;0.316148274;0.379537954;0.797849462;-0.717514124;281.5918318;0.07341744;2
portugos;02/03/2023;Micro_collar_13-16;11:52:00;Invierno;16;1;CH4;-0.434851;0.988103;36.95462;-3.30119;BS;5.7;4.7;16.1;0;13;0;0.340772639;0.412912913;0.777148253;-0.700858563;281.5918318;0.0784742;2
portugos;02/03/2023;Micro_collar_9-12;11:36:00;Invierno;11;1;CH4;-0.376767;0.987559;36.95469;-3.301252;VP;5.3;4.7;16.1;0;13;0;0.316148274;0.379537954;0.797849462;-0.717514124;281.5918318;0.07341744;2
portugos;02/03/2023;Micro_collar_13-16;11:42:00;Invierno;13;1;CH4;-0.362167;0.985513;36.95461;-3.301262;BS;5.1;4.7;16.1;0;13;0;0.340772639;0.412912913;0.777148253;-0.700858563;281.5918318;0.0784742;2
portugos;02/03/2023;Micro_collar_1-4;11:04:00;Invierno;1;1;CO2;1.05832;0.97324;36.9548;-3.301102;VP;13.1;4.7;16.1;0;13;0;0.296517166;0.369442199;0.732106339;-0.690618762;281.4790372;0.07533849;2
portugos;02/03/2023;Micro_collar_1-4;11:07:00;Invierno;2;1;CO2;0.997004;0.972699;36.95477;-3.301082;VP;11.7;4.7;16.1;0;13;0;0.296517166;0.369442199;0.732106339;-0.690618762;281.4790372;0.07533849;2
portugos;02/03/2023;Micro_collar_1-4;11:10:00;Invierno;3;1;CO2;1.7258;0.989654;36.9548;-3.301113;VP;10.8;4.7;16.1;0;13;0;0.314987956;0.370049038;0.738630924;-0.724596391;281.4790372;0.0764806;2
portugos;02/03/2023;Micro_collar_5-8;11:16:00;Invierno;5;1;CO2;2.90104;0.99608;36.95481;-3.301173;BS;9.82;4.7;16.1;0;13;0;0.329106157;0.407294833;0.768019093;-0.721989772;281.4790372;0.0761929;2
portugos;02/03/2023;Micro_collar_5-8;11:19:00;Invierno;6;1;CO2;1.07005;0.974486;36.95484;-3.301203;BS;8.8;4.7;16.1;0;13;0;0.329106157;0.407294833;0.768019093;-0.721989772;281.4790372;0.0761929;2
