Location;Date;T_med_ifapa;Rad_ifapa;Pp_ifapa;Dias_ultima_pp;Pp_acumulada_7
nacimiento;01/01/2022;14;10.7;0;NA;0
nacimiento;02/01/2022;13.6;10.8;0;1;0
nacimiento;03/01/2022;13.8;10.7;0;2;0
nacimiento;04/01/2022;11.5;9.5;0;3;0
nacimiento;05/01/2022;5.8;9.4;2.4;0;2.4
nacimiento;06/01/2022;5.7;10.6;0.6;0;3
nacimiento;07/01/2022;6.5;10.9;0;1;3
nacimiento;08/01/2022;7.1;9.2;0;2;3
nacimiento;09/01/2022;10.7;4.4;0;3;3
nacimiento;10/01/2022;11.8;10.6;0;4;3
nacimiento;11/01/2022;8;10.3;0;5;3
nacimiento;12/01/2022;6.1;11;0;6;3
nacimiento;13/01/2022;4.3;7;0;7;0.6
nacimiento;14/01/2022;3.9;4.9;1.2;0;0
nacimiento;15/01/2022;3.3;10.9;0.2;0;1.2
nacimiento;16/01/2022;4.1;11.1;0.1;0;1.4
nacimiento;17/01/2022;4.3;11.3;0;1;1.5
nacimiento;18/01/2022;3.6;11.6;0;2;1.5
nacimiento;19/01/2022;3.3;11.5;0;3;1.5
nacimiento;20/01/2022;3.7;10.9;0;4;1.5
nacimiento;21/01/2022;3.8;11.5;0;5;1.5
nacimiento;22/01/2022;5.3;9.2;0;6;0.3
nacimiento;23/01/2022;5.2;5.4;0;7;0.1
nacimiento;24/01/2022;5.1;10.8;0;8;0
nacimiento;25/01/2022;5.5;3.2;0;9;0
nacimiento;26/01/2022;5.5;1.2;10.1;0;0
nacimiento;27/01/2022;6.4;6.7;0;1;10.1
nacimiento;28/01/2022;6.3;12.5;0;2;10.1
nacimiento;29/01/2022;7.7;13;0;3;10.1
nacimiento;30/01/2022;9;11.7;0;4;10.1
nacimiento;31/01/2022;11.2;12.1;0;5;10.1
nacimiento;01/02/2022;8.5;13.4;0;6;10.1
nacimiento;02/02/2022;11.4;13.8;0;7;10.1
nacimiento;03/02/2022;13.5;11.7;0;8;0
nacimiento;04/02/2022;13.8;11.9;0;9;0
nacimiento;05/02/2022;10.6;7.6;0;10;0
nacimiento;06/02/2022;7.8;8.3;0;11;0
nacimiento;07/02/2022;8.5;14.1;0;12;0
nacimiento;08/02/2022;7.9;14.4;0;13;0
nacimiento;09/02/2022;6.2;14.5;0;14;0
nacimiento;10/02/2022;7.3;14.6;0;15;0
nacimiento;11/02/2022;9.5;13.1;0;16;0
nacimiento;12/02/2022;5.5;14.3;0;17;0
nacimiento;13/02/2022;7.2;10.9;0;18;0
